Date,Close,Open,High,Low,Volume,Change %,Daily_Return,Volatility_30d,SMA_20,SMA_50,Pattern,Buy,Sell
2019-05-08,50.72,50.47,51.33,50.44,105360000.0,0.02%,0.0,,,,None,False,False
2019-05-09,50.18,50.1,50.42,49.17,139630000.0,-1.07%,-0.010646687697160817,,,,Doji,False,False
2019-05-10,49.29,49.35,49.71,48.19,164830000.0,-1.76%,-0.017736149860502204,,,,Doji,False,False
2019-05-13,46.43,46.93,47.37,45.71,229720000.0,-5.81%,-0.05802393994725097,,,,None,False,False
2019-05-14,47.17,46.6,47.42,46.35,146120000.0,1.58%,0.015937971139349694,,,,None,False,False
2019-05-15,47.73,46.57,47.94,46.51,106180000.0,1.20%,0.011871952512189754,,,,None,False,False
2019-05-16,47.52,47.48,48.12,47.21,132130000.0,-0.44%,-0.004399748585794949,,,,Doji,False,False
2019-05-17,47.25,46.73,47.72,46.69,131520000.00000001,-0.57%,-0.005681818181818232,,,,None,False,False
2019-05-20,45.77,45.88,46.09,45.07,154450000.0,-3.13%,-0.03132275132275131,,,,None,False,False
2019-05-21,46.65,46.31,47.0,46.17,113460000.0,1.92%,0.019226567620712176,,,,None,False,False
2019-05-22,45.69,46.17,46.43,45.64,118990000.0,-2.05%,-0.02057877813504827,,,,None,False,False
2019-05-23,44.92,44.95,45.13,44.45,146120000.0,-1.71%,-0.01685270299846786,,,,Doji,False,False
2019-05-24,44.74,45.05,45.53,44.65,94860000.0,-0.38%,-0.004007123775601085,,,,None,False,False
2019-05-28,44.56,44.73,45.15,44.48,111790000.0,-0.41%,-0.0040232454179705,,,,Shooting Star,False,True
2019-05-29,44.35,44.1,44.84,44.0,113920000.0,-0.48%,-0.004712746858168804,,,,None,False,False
2019-05-30,44.58,44.49,44.81,44.17,84870000.0,0.52%,0.005186020293122873,,,,None,False,False
2019-05-31,43.77,44.06,44.5,43.75,108170000.0,-1.81%,-0.018169582772543658,,,,None,False,False
2019-06-03,43.33,43.9,44.48,42.57,161580000.0,-1.01%,-0.010052547406899759,,,,None,False,False
2019-06-04,44.91,43.86,44.96,43.63,123870000.0,3.66%,0.03646434341103166,,,,None,False,False
2019-06-05,45.63,46.07,46.25,45.28,119090000.0,1.61%,0.01603206412825675,,46.2595,,None,False,False
2019-06-06,46.31,45.77,46.37,45.54,90110000.0,1.47%,0.014902476440938006,,46.039,,None,False,False
2019-06-07,47.54,46.63,47.98,46.44,122740000.0,2.66%,0.026560138199092975,,45.907,,None,False,False
2019-06-10,48.15,47.95,48.84,47.9,104880000.0,1.28%,0.012831299957930087,,45.85,,None,False,False
2019-06-11,48.7,48.72,49.0,48.4,107730000.0,1.16%,0.011422637590861928,,45.963499999999996,,Doji,False,False
2019-06-12,48.55,48.49,48.99,48.35,73010000.0,-0.32%,-0.0030800821355236874,,46.032500000000006,,Doji,False,False
2019-06-13,48.54,48.67,49.2,48.4,86700000.0,-0.02%,-0.0002059732234809264,,46.073,,None,False,False
2019-06-14,48.19,47.89,48.4,47.58,75050000.0,-0.73%,-0.007210548001648109,,46.1065,,None,False,False
2019-06-17,48.47,48.22,48.74,48.04,58680000.0,0.60%,0.00581033409421039,,46.167500000000004,,None,False,False
2019-06-18,49.61,49.01,50.07,48.8,106200000.0,2.35%,0.02351970290901595,,46.3595,,None,False,False
2019-06-19,49.47,49.92,49.97,49.33,84500000.0,-0.29%,-0.0028220116911913395,0.2986601912805474,46.5005,,None,False,False
2019-06-20,49.87,50.09,50.15,49.51,86060000.0,0.80%,0.008085708510208178,0.2997326369279614,46.709500000000006,,None,False,False
2019-06-21,49.69,49.7,50.21,49.54,191200000.0,-0.34%,-0.0036093843994385866,0.29833055928047697,46.94799999999999,,Doji,False,False
2019-06-24,49.65,49.63,50.04,49.54,72880000.0,-0.10%,-0.000804990943851891,0.2936591506302843,47.1935,,Doji,False,False
2019-06-25,48.89,49.61,49.81,48.82,84280000.0,-1.52%,-0.015307150050352436,0.24121125720057204,47.410000000000004,,None,False,False
2019-06-26,49.95,49.44,50.25,49.34,104270000.0,2.16%,0.021681325424422138,0.244678937816172,47.69,,None,False,False
2019-06-27,49.94,50.07,50.39,49.89,83600000.0,-0.03%,-0.0002002002002002845,0.2429527718528174,47.958000000000006,,Shooting Star,False,True
2019-06-28,49.48,49.67,49.87,49.26,124440000.0,-0.91%,-0.009211053263916691,0.2443851032931097,48.2435,,None,False,False
2019-07-01,50.39,50.79,51.12,50.16,109270000.0,1.83%,0.01839126919967682,0.24819965477228928,48.596500000000006,,None,False,False
2019-07-02,50.68,50.35,50.78,50.34,67740000.0,0.59%,0.005755110140901021,0.22695315760515508,48.885,,None,False,False
2019-07-03,51.1,50.82,51.11,50.67,45450000.0,0.83%,0.008287292817679592,0.22253806042112273,49.1585,,None,False,False
